event,upg_users,upg_reach_pct,oth_users,oth_reach_pct,lift_reach,upg_per_user,oth_per_user,lift_freq,total_count,is_leak_candidate
subscription_upgraded,323,100.0,0,0.0,10001.0,1.02,0.0,1016.48,328,True
open_cancel_plan_modal,97,30.03,1,0.01,1900.38,0.34,0.0,325.73,112,True
subscription_downgraded,127,39.32,3,0.02,1434.12,0.64,0.0,495.02,211,True
clicked_add_credits,66,20.43,1,0.01,1293.24,0.29,0.0,273.07,94,True
downgrade_subscription,114,35.29,3,0.02,1287.36,0.37,0.0,317.24,123,True
agent_add_on_credits_popup_opened,41,12.69,0,0.0,1270.35,0.19,0.0,192.95,62,False
add_credits,36,11.15,0,0.0,1115.55,0.33,0.0,329.17,106,True
addon_credits_purchased,23,7.12,0,0.0,713.07,0.23,0.0,230.1,74,True
referral_upgrade_bonus_awarded,6,1.86,0,0.0,186.76,0.03,0.0,31.96,10,True
auto_recharge_enabled,4,1.24,0,0.0,124.84,0.01,0.0,13.38,4,False
cancel_subscription,4,1.24,0,0.0,124.84,0.04,0.0,41.25,13,True
agent_resume_plan_button_clicked,18,5.57,7,0.04,110.21,0.07,0.0,47.19,30,False
renew_plan,3,0.93,0,0.0,93.88,0.01,0.0,10.29,3,True
auto_charge_enabled,3,0.93,0,0.0,93.88,0.01,0.0,10.29,3,False
auto_recharge_disabled,2,0.62,0,0.0,62.92,0.01,0.0,7.19,2,False
subscription_cancelled,2,0.62,0,0.0,62.92,0.01,0.0,7.19,2,True
report_chat_sidebar_opened,5,1.55,3,0.02,56.81,0.03,0.0,22.37,14,False
agent_retry_message_button_clicked,53,16.41,51,0.3,53.62,0.19,0.01,29.87,156,False
ai_credit_banner_clicked,30,9.29,33,0.19,46.11,0.16,0.0,30.66,123,False
report_ask_ai_submitted,3,0.93,2,0.01,43.43,0.01,0.0,8.35,7,False
report_social_share_clicked,2,0.62,1,0.01,39.8,0.01,0.0,9.72,4,False
user_issue_submitted,2,0.62,1,0.01,39.8,0.01,0.0,6.8,3,False
agent_add_credits_button_clicked,103,31.89,154,0.89,35.27,0.54,0.01,38.62,395,True
user_feedback_submitted,3,0.93,3,0.02,34.23,0.01,0.0,8.76,6,False
source_control_disconnect_from_canvas,3,0.93,3,0.02,34.23,0.01,0.0,8.76,6,False
seats_exceeded_share_warning,3,0.93,3,0.02,34.23,0.02,0.0,11.72,12,False
report_share_opened,10,3.1,15,0.09,31.98,0.07,0.0,32.24,47,False
seats_exceeded_share_resource_warning_clicked_upgrade,1,0.31,0,0.0,31.96,0.0,0.0,4.1,1,True
non_default_org_created,1,0.31,0,0.0,31.96,0.0,0.0,4.1,1,False
notebook_report_create,22,6.81,40,0.23,28.15,0.13,0.0,31.98,98,False
leave_feedback_clicked,11,3.41,20,0.12,27.07,0.04,0.0,17.23,37,False
notebook_deployment_preview_updated,44,13.62,89,0.52,25.87,0.69,0.02,36.05,536,False
notebook_deployment_preview_undeployed,12,3.72,24,0.14,24.94,0.08,0.0,23.7,68,False
deployment_credit_limit_modal,3,0.93,5,0.03,24.05,0.01,0.0,7.97,8,False
persistent_executor_used,3,0.93,5,0.03,24.05,0.02,0.0,10.82,14,False
report_chat_new_chat,2,0.62,3,0.02,22.94,0.01,0.0,7.38,18,False
notebook_deployment_updated,45,13.93,104,0.6,22.71,1.11,0.02,44.59,767,False
upgrade_subscription,255,78.95,599,3.48,22.63,1.22,0.05,22.25,1318,True
ai_credit_banner_shown,129,39.94,309,1.79,22.14,2.03,0.09,23.31,2140,False
notebook_deployment_undeployed,24,7.43,61,0.35,20.42,0.31,0.01,27.83,272,False
published_report_delete,1,0.31,1,0.01,20.22,0.01,0.0,6.8,3,False
agent_message_feedback,11,3.41,28,0.16,19.79,0.06,0.0,16.22,61,False
team_plan_modal,15,4.64,39,0.23,19.68,0.05,0.0,10.18,78,True
api_download_source,2,0.62,4,0.02,18.93,0.01,0.0,5.11,9,False
notebook_deployment_reset,30,9.29,83,0.48,18.9,0.17,0.01,18.9,190,False
notebook_deployment_preview_created,69,21.36,201,1.17,18.15,1.46,0.03,46.26,999,False
notebook_deployment_credits_exceeded,47,14.55,150,0.87,16.52,0.23,0.01,22.44,230,False
agent_tool_call_list_executor_images_tool,68,21.05,221,1.28,16.28,0.5,0.02,23.34,509,False
notebook_deployment_usage_tracked,58,17.96,191,1.11,16.05,187.29,7.49,24.99,189498,False
report_onboarding_tip_dismissed,4,1.24,12,0.07,15.66,0.01,0.0,7.89,16,False
notebook_deployment_deployed,58,17.96,198,1.15,15.49,0.62,0.02,28.17,559,False
asset_add_to_canvas,7,2.17,23,0.13,15.16,0.06,0.0,19.98,57,False
agent_cancel_plan_button_clicked,1,0.31,2,0.01,14.79,0.0,0.0,3.67,3,True
watermark_remove_upgrade_clicked,1,0.31,2,0.01,14.79,0.0,0.0,3.49,4,True
source_control_commit,22,6.81,79,0.46,14.55,0.24,0.01,16.82,309,False
canvas_clone,24,7.43,87,0.51,14.44,0.11,0.01,14.43,153,False
source_control_pull,11,3.41,40,0.23,14.1,0.11,0.01,14.16,146,False
source_control_connect_to_canvas,28,8.67,107,0.62,13.74,0.15,0.01,15.27,195,False
stop_all_blocks,34,10.53,136,0.79,13.17,0.48,0.02,24.21,483,False
commercial_credits_received,6,1.86,23,0.13,13.01,0.03,0.0,10.1,41,False
notebook_deployment_automatic_preview_started,75,23.22,308,1.79,12.91,0.66,0.03,21.8,714,False
credits_exceeded,161,49.85,688,4.0,12.45,33.38,1.41,23.64,35082,False
block_environment_selected,11,3.41,46,0.27,12.32,0.08,0.01,6.4,228,False
agent_tool_call_get_scripts_tool,81,25.08,350,2.03,12.28,2.23,0.06,39.31,1682,False
agent_tool_call_analyze_attachment_tool,134,41.49,597,3.47,11.93,5.75,0.23,24.96,5803,False
agent_tool_call_get_block_image_tool,36,11.15,160,0.93,11.88,0.36,0.03,12.37,600,False
