person_id,n_events,n_new,n_explore,n_created,n_ai,n_code,n_integ,n_upgrade,distinct_days,first_ts,last_ts,days_since_last,s1_new,s2_explored,s3_created,s4_used_ai,s5_wrote_code,s6_integrated,s7_engaged,s8_upgraded,highest_stage_num,final_stage
7552cdff-4112-5b9d-8c17-62861efed4ec,172,0,5,1,10,1,0,0,1,2025-09-01 07:01:11.708000+00:00,2025-09-01 18:47:05.549000+00:00,227.2172810763889,False,True,True,True,True,False,False,False,5,9.AtRisk
73a33a62-8cd1-5809-95be-d89650e3bd9c,8,1,1,0,0,0,0,0,1,2025-09-01 09:22:49.770000+00:00,2025-09-01 13:14:59.264000+00:00,227.44790937500002,True,True,False,False,False,False,False,False,2,2.Exploring
0a790ce0-13bf-598e-9e5f-fb358e772099,11,0,2,0,0,0,0,0,2,2025-09-01 15:51:39.944000+00:00,2025-09-03 06:56:08.863000+00:00,225.71099271990744,False,True,False,False,False,False,False,False,2,2.Exploring
bf74b49f-4b18-5159-bd56-155abf2cc4ac,18,1,1,0,2,2,0,0,1,2025-09-01 11:49:45.230000+00:00,2025-09-01 11:52:36.374000+00:00,227.50511875,True,True,False,True,True,False,False,False,5,9.AtRisk
21771d94-6ac2-5883-a71d-8a90ac3d31ba,16,1,1,0,0,1,0,0,1,2025-09-01 19:30:54.687000+00:00,2025-09-01 19:32:26.576000+00:00,227.18578770833332,True,True,False,False,True,False,False,False,5,9.AtRisk
da141d24-c79a-5714-ab9e-9203fd06ce58,98,1,13,2,1,10,0,0,3,2025-09-01 20:30:33.355000+00:00,2025-09-19 09:38:05.409000+00:00,209.59853269675926,True,True,True,True,True,False,True,False,7,9.AtRisk
242dfdb3-0202-53cc-a625-de71dc0899f3,73,1,11,2,9,0,0,0,2,2025-09-01 00:29:07.490000+00:00,2025-09-02 21:36:48.265000+00:00,226.09942556712963,True,True,True,True,False,False,False,False,4,9.AtRisk
a4e2b23b-58b5-540d-8dea-e2b83fb95b38,3,0,0,0,0,0,0,0,2,2025-09-01 14:25:13.680000+00:00,2025-09-02 07:19:31.569000+00:00,226.69475769675927,False,False,False,False,False,False,False,False,0,0.NoEvent
c4d11e95-defa-55c2-bccd-6f62a93d389e,20,1,2,0,1,1,0,0,2,2025-09-01 14:52:03.946000+00:00,2025-09-02 15:34:39.921000+00:00,226.3509110300926,True,True,False,True,True,False,False,False,5,9.AtRisk
3e59230c-1bd8-5a69-be57-4a47b7f2a04b,7,0,0,0,0,0,0,0,1,2025-09-01 09:34:12.436000+00:00,2025-09-01 09:35:40.041000+00:00,227.60021519675925,False,False,False,False,False,False,False,False,0,0.NoEvent
7e00ba27-6f48-5b30-aea8-5e14eda50870,49,1,6,1,5,9,0,0,1,2025-09-01 18:47:06.640000+00:00,2025-09-01 19:02:04.677000+00:00,227.2068745023148,True,True,True,True,True,False,False,False,5,9.AtRisk
336cabe7-12e7-5da1-bdad-4b63ee910065,35,1,24,0,0,0,0,0,2,2025-09-01 13:52:43.476000+00:00,2025-09-02 15:13:39.557000+00:00,226.3654985763889,True,True,False,False,False,False,False,False,2,2.Exploring
5cc15108-9d05-5771-b783-277b2f432b72,718,0,121,7,31,9,0,0,37,2025-09-01 04:32:40.462000+00:00,2026-04-15 17:04:29.116000+00:00,1.2885360879629628,False,True,True,True,True,False,True,False,7,7.Engaged
