feature,gain
observation_days,0.07074432
os_Linux,0.05761041
n_pageview_7d,0.0375984
n_autocapture_7d,0.028668964
session_minutes_full,0.02767589
n_banner_shown_full,0.023828201
n_credits_exceeded_7d,0.02097897
n_credits_used_1h,0.020197848
country_Other,0.019738495
country_Canada,0.019178044
n_credits_exceeded_full,0.018975103
n_files_upload_1h,0.018254932
n_block_create_full,0.018192371
country_India,0.016838776
n_pageview_full,0.015276461
n_banner_shown_1h,0.015037749
did_hit_credit_limit_full,0.013786258
n_agent_new_7d,0.013232376
hours_to_first_block_create,0.013181029
n_ai_1h,0.013074115
work_type_Business Applications,0.012983157
n_events_full,0.011984031
signup_source_Colleague,0.011665636
n_distinct_days_full,0.011523313
purpose_Personal Projects,0.011228634
n_pageview_24h,0.011118711
n_exception_7d,0.010943038
n_create_7d,0.010579026
os_Windows,0.010268536
mean_event_interval_sec_7d,0.00999684
